ID,GS,Cuadrante,DO,fHORA,Ano,Guanacos,DMin,DMax,Patch,Log C2,ALev,NComp,Agr,Sync.Max,ACT,Chulengos,Chu_PA,Sync4
890,F,SE,277,T5,8,7,1,10,"31,416","-0,088309841",1,1,0,1,1,1,1,"2,083333333"
891,F,SO,719,T5,8,8,5,5,"78,54","0,293030906",1,1,0,1,1,1,1,"2,083333333"
892,GsC,SE,1529,T5,8,8,1,30,"94,248","-0,119149542",1,1,0,1,1,0,0,"12,5"
893,GsC,SE,1087,T5,8,10,1,20,"62,832","-0,223008415",1,1,0,1,1,0,0,"4,166666667"
894,F,SE,871,T5,8,16,1,50,"157,08","-0,41453927",1,2,0,"0,9375","0,46875",3,1,"4,166666667"
895,GsC,SO,1261,T5,8,53,1,100,"314,16","-0,930416359",1,1,0,1,1,0,0,5
897,GsC,SO,1627,T5,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"2,380952381"
898,GsC,SE,1561,T5,8,5,5,100,"1570,8","0,776991585",1,1,0,1,1,0,0,"1,704545455"
899,GsC,SE,809,T5,8,8,2,20,"125,664","0,154728207",1,1,1,1,1,0,0,"2,083333333"
900,F,SE,583,T5,8,10,2,50,"314,16","0,08217754",1,2,1,"0,9","0,45",1,1,"4,166666667"
901,GsC,SO,1085,T5,8,43,1,100,"314,16","-0,839608945",1,1,0,1,1,0,0,"2,777777778"
903,GsC,SO,703,T5,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"2,884615385"
904,F,SE,589,T5,8,10,1,50,"157,08","-0,210419288",1,1,0,1,1,1,1,"1,136363636"
905,F,SE,533,T5,8,11,1,20,"62,832","-0,2644011",1,1,0,1,1,1,1,"2,083333333"
906,GsC,SO,847,T5,8,40,1,100,"314,16","-0,808200481",1,1,0,1,1,0,0,"2,272727273"
907,F,SE,491,T5,8,10,1,30,"94,248","-0,216059555",1,1,0,1,1,1,1,"1,5625"
910,GsC,SO,917,T1,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"1,851851852"
912,GsC,SO,770,T1,8,2,30,30,"2827,44","1,673242147",1,1,0,1,1,0,0,"1,339285714"
913,F,SO,323,T1,8,9,1,20,"62,832","-0,177250925",1,1,0,1,1,2,1,"1,785714286"
915,GsC,SE,446,T1,8,2,20,50,"3141,6","1,652052848",1,1,0,1,1,0,0,"1,339285714"
916,GsC,SO,794,T1,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"1,351351351"
917,F,SE,355,T1,8,8,1,30,"94,248","-0,119149542",1,1,0,1,1,1,1,"1,388888889"
918,F,SO,327,T1,8,9,1,30,"94,248","-0,170302065",1,1,0,1,1,2,1,"1,5625"
919,GsC,SE,415,T1,8,2,20,20,"1256,64","1,497150888",1,1,0,1,1,0,0,"0,765306122"
920,GsC,SO,778,T1,8,2,50,50,7854,"1,895090897",1,1,0,1,1,0,0,"1,111111111"
921,F,SE,460,T1,8,8,1,30,"94,248","-0,119149542",1,1,0,1,1,1,1,"1,388888889"
922,F,SO,311,T1,8,9,1,30,"94,248","-0,170302065",1,1,0,1,1,2,1,"1,5625"
923,GsC,SE,1464,T1,8,16,2,50,"314,16","-0,121942442",1,1,0,1,1,0,0,"0,925925926"
924,GsC,SE,448,T1,8,2,30,30,"2827,44","1,673242147",1,1,0,1,1,0,0,"1,339285714"
925,GsC,SO,812,T1,8,2,10,10,"314,16","1,196120893",1,2,1,"0,5","0,25",0,0,"0,625"
926,F,SE,497,T1,8,8,50,50,7854,"1,293030906",1,1,0,1,1,1,1,"1,041666667"
927,F,SO,307,T1,8,9,1,20,"62,832","-0,177250925",1,1,0,1,1,2,1,"1,785714286"
